file,name,description
files/Cases\Case_CA7454.htm,KSS01133,Coppia massima asse {Numero di asse} superata
files/Cases\Case_CA7486.htm,SubmitControl 00010,"Interpreter {Modulo submit} non disponibile. ""Seleziona/Avvia"" non possibile."
files/Cases\Case_CA7667.htm,KSS01133,Coppia massima asse {Numero di asse} superata
files/Cases\Case_CA7801.htm,KSS00001,ARRESTO D'EMERGENZA
files/Cases\Case_CA7802.htm,KSS00001,ARRESTO D'EMERGENZA
files/Cases\Case_CA7857.htm,KSS13018,<{ID bus}> Errore di inizializzazione dello stack ECat. Apparecchio: {Apparecchio contenente errori} [{Informazioni addizionali}]
files/Cases\Case_CA7953.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA8004.htm,KSS00470,Riduzione Safe robot override attiva
files/Cases\Case_CA8005.htm,KSS00470,Riduzione Safe robot override attiva
files/Cases\Case_CA8008.htm,KSS15012,Errore tasto di consenso
files/Cases\Case_CA8025.htm,KSS06503,Errore di configurazione driver I/O {Nome driver}
files/Cases\Case_CA8076.htm,KSS13068,<{Istanza bus}> Partecipante EtherCAT {Nome apparecchio} non collegato al bus.
files/Cases\Case_CA8124.htm,KSS15101,Apparecchio sicuro {Apparecchio}: errore sull'ingresso {Ingresso}
files/Cases\Case_CA8185.htm,KSS15053,Conf.: Gruppo di riferimento calibrazione n. {Numero del gruppo di riferimento} non referenziato
files/Cases\Case_CA8213.htm,KSS15048,Conferma: Intervallo di tempo per riferimento calibrazione scaduto
files/Cases\Case_CA8375.htm,KSS00067,Confermare protezione operatore
files/Cases\Case_CA8382.htm,KSS15037,Superamento campo cella
files/Cases\Case_CA8384.htm,KSS15081,Superato campo di sorveglianza n. {Numero del campo di sorveglianza}
files/Cases\Case_CA8386.htm,KSS15079,Violato campo di sorveglianza n. {Numero del campo di sorveglianza}
files/Cases\Case_CA8470.htm,KSS01133,Coppia massima asse {Numero di asse} superata
files/Cases\Case_CA8474.htm,KSS01074,Comando torsione motore {Numero di asse}
files/Cases\Case_CA8480.htm,KSS03201,Superato errore di posizionamento {Numero asse} durante modalità di coppia
files/Cases\Case_CA8551.htm,KSS13039,Errore di inizializzazione del firmware Profinet
files/Cases\Case_CA8586.htm,KSS01133,Coppia massima asse {Numero di asse} superata
files/Cases\Case_CA8591.htm,KSS15054,Sorveglianze campo di lavoro disattivate (errore di calibrazione)
files/Cases\Case_CA8592.htm,KSS15049,Riferimento calibrazione fallito
files/Cases\Case_CA8611.htm,KSS15018,Conferma: superata velocità massima cartesiana nel modo T1
files/Cases\Case_CA8613.htm,KSS01100,Inattività {(Numero asse)}
files/Cases\Case_CA8639.htm,KSS00287,Errore ventola PC
files/Cases\Case_CA8646.htm,KSS02162,Carattere inserito errato
files/Cases\Case_CA8655.htm,KSS01141,TTS non esistente
files/Cases\Case_CA8657.htm,KSS01141,TTS non esistente
files/Cases\Case_CA8693.htm,KSS13025,"Mouse-6D spostato-mosso dalla posizione di zero, rilasciare e premere tasto uomo-morto."
files/Cases\Case_CA8720.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA8754.htm,KSS26177,Incremento valore forza nel controllo forza mancante ({Azionamento}).
files/Cases\Case_CA8795.htm,KSS12017,Protezione operatore non confermata
files/Cases\Case_CA8810.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA8815.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA8817.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA8819.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA8848.htm,KSS15042,Conferma: superata velocità assi a riduzione sicura
files/Cases\Case_CA8951.htm,KSS01443,Movimento iniziale non permesso
files/Cases\Case_CA9016.htm,KSS01102,Velocità nominale {Numero di asse}
files/Cases\Case_CA9070.htm,KSS03266,Confermare per proseguire il funzionamento di T2 con velocità impostata.
files/Cases\Case_CA9133.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA9138.htm,KSS03263,Durata max. di frenata in MADA ($RED_ACC_EMX) e controllo di sicurezza inconsistenti
files/Cases\Case_CA9230.htm,KSS03199,SETINFO su {Nome variabile KRL} ({Luogo di dichiarazione}) sospeso
files/Cases\Case_CA9235.htm,KSS01447,Punto non raggiungibile! Finecorsa software {Direzione di spostamento}{Numero di asse}
files/Cases\Case_CA9245.htm,KSS15074,"Errore nel nodo di sicurezza dell'azionamento {Nome apparecchio}, canale {Numero canale}"
files/Cases\Case_CA9253.htm,KSS00404,Arresto di sicurezza
files/Cases\Case_CA9411.htm,KSS06503,Errore di configurazione driver I/O {Nome driver}
files/Cases\Case_CA9451.htm,KSS00106,Eseguire calibrazione {Numero di asse}
files/Cases\Case_CA9477.htm,KSS27022,Il modo operativo T1 impedisce l'esecuzione del test freni
files/Cases\Case_CA9485.htm,KSS01402,Scegliere avviamento
files/Cases\Case_CA9582.htm,KSS01424,Troppi programmi selezionati {Posizione}
files/Cases\Case_CA9583.htm,KSS00205,Finecorsa software {Direzione di spostamento} {Numero di asse}
files/Cases\Case_CA9690.htm,KSS15107,Errore all'ingresso di conferma calibrazione
files/Cases\Case_CA9697.htm,KSS15127,Conf.: Arresto tramite sorveglianza zona di lavoro
files/Cases\Case_CA9708.htm,KSS12032,scostamento di posizione (controllo del movimento <-> controllo di sicurezza)
files/Cases\Case_CA9743.htm,KSS27021,Gli assi simulati impediscono l'esecuzione del test freni
files/Cases\Case_CA9760.htm,KSS27020,Gli assi asincroni impediscono l'esecuzione del test freni
files/Cases\Case_CA9774.htm,KSS15045,Errore interruttore di riferimento calibrazione
files/Cases\Case_CA9778.htm,KSS15045,Errore interruttore di riferimento calibrazione
files/Cases\Case_CA9783.htm,KSS15045,Errore interruttore di riferimento calibrazione
files/Cases\Case_CA9785.htm,KSS15045,Errore interruttore di riferimento calibrazione
files/Cases\Case_CA9786.htm,KSS15066,Livello Low inatteso sull'interruttore di riferimento calibrazione
files/Cases\Case_CA9789.htm,KSS15066,Livello Low inatteso sull'interruttore di riferimento calibrazione
files/Cases\Case_CA9815.htm,KSS10019,{Nome istanza} Restart già in esecuzione
files/Cases\Case_CA9869.htm,KSS01072,Momento di mantenimento freno {Numero di asse} superato
files/Cases\Case_CA9905.htm,KSS00151,La velocità impostata deve essere ancora confermata dopo aver premuto il tasto di consenso
files/Cases\Case_CA9910.htm,KSS00263,Dati cambiati difettosi
files/Cases\Case_CA9984.htm,KSS00309,Selezione blocco: necessario ricercare SAK in T1/T2
files/Cases\Case_CA9987.htm,KSS00249,$MOVE_ENABLE Configurazione non consentita
